               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.031024,           0.0083611,                   0,             0.82666,              0.7971,             0.84454,              0.4402,            0.031119,           0.0048976,                   0,            0.008779,            0.008779,            0.008779
                  39,             0.03112,           0.0090263,                   0,             0.79522,             0.84419,             0.84898,             0.45483,            0.031655,           0.0045938,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.030917,           0.0086949,                   0,             0.84304,             0.78986,             0.83365,             0.41355,            0.035102,           0.0046792,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.031049,           0.0083165,                   0,              0.7306,             0.86957,             0.80986,              0.4341,            0.036267,           0.0047131,                   0,             0.00868,             0.00868,             0.00868
                  42,             0.03018,           0.0084878,                   0,             0.73134,             0.82851,             0.81832,             0.43791,            0.035215,           0.0047503,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.031007,           0.0080753,                   0,             0.73622,             0.84058,             0.81676,             0.44019,            0.033052,           0.0046334,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.030652,            0.008256,                   0,             0.81065,             0.74638,             0.79626,              0.4302,            0.034748,           0.0051689,                   0,            0.008581,            0.008581,            0.008581
                  45,             0.03083,           0.0093346,                   0,             0.77317,             0.83981,             0.84039,              0.4599,            0.033265,           0.0046015,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.030066,           0.0081943,                   0,              0.8548,             0.78261,             0.82338,             0.45642,             0.03482,           0.0049839,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.030505,           0.0082954,                   0,             0.78155,              0.7971,             0.80883,             0.39205,             0.03457,           0.0053406,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.030526,           0.0079925,                   0,             0.81536,             0.83199,             0.83127,             0.46572,            0.032624,           0.0051355,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.029779,           0.0082916,                   0,             0.81475,             0.81884,             0.84152,             0.44722,             0.03284,           0.0048242,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.028495,           0.0081273,                   0,             0.78493,             0.81884,             0.81982,             0.39552,            0.034949,           0.0050545,                   0,            0.008383,            0.008383,            0.008383
