                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2058,                0.27733,                 1.1187,                0.65646,                0.72003,                0.70583,                0.35598,                 1.6366,                0.25176,                0.95305,               0.008878,               0.008878,               0.008878
                     36,                 1.2183,                0.26386,                 1.1184,                0.72483,                 0.6087,                0.72593,                 0.3921,                 1.6425,                0.24891,                0.95943,               0.008845,               0.008845,               0.008845
                     37,                 1.1905,                0.27038,                 1.1079,                0.72461,                0.73188,                0.71157,                0.39136,                  1.471,                  0.264,                0.93105,               0.008812,               0.008812,               0.008812
                     38,                 1.1689,                0.26831,                 1.1118,                0.63636,                0.72284,                0.67797,                0.35539,                 1.6242,                 0.2564,                0.95418,               0.008779,               0.008779,               0.008779
                     39,                 1.1682,                 0.2604,                 1.1061,                0.65337,                0.75123,                0.73503,                0.41008,                 1.4969,                0.24893,                 0.9228,               0.008746,               0.008746,               0.008746
                     40,                 1.1395,                0.25784,                  1.087,                0.70043,                 0.7963,                0.76612,                0.42915,                 1.4545,                 0.2398,                0.90981,               0.008713,               0.008713,               0.008713
                     41,                 1.1405,                0.26159,                  1.094,                 0.6544,                0.76087,                0.71856,                0.37889,                 1.6316,                0.24436,                0.93835,                0.00868,                0.00868,                0.00868
                     42,                 1.1294,                0.25641,                 1.0855,                0.55959,                0.73188,                 0.6395,                0.36255,                 1.5442,                0.26612,                0.91399,               0.008647,               0.008647,               0.008647
                     43,                 1.1278,                0.25197,                 1.0675,                0.68133,                0.71014,                0.71525,                0.36303,                 1.5912,                 0.2588,                 0.9725,               0.008614,               0.008614,               0.008614
                     44,                 1.1312,                0.25241,                 1.0925,                 0.7283,                 0.7187,                 0.7603,                0.43037,                 1.4628,                0.25584,                 0.9318,               0.008581,               0.008581,               0.008581
                     45,                 1.1294,                 0.2561,                 1.0922,                0.69211,                0.68841,                 0.7019,                0.37743,                 1.5482,                0.26724,                0.94947,               0.008548,               0.008548,               0.008548
                     46,                 1.1205,                0.25939,                  1.075,                0.66901,                0.73233,                0.74062,                0.41756,                 1.5399,                0.23663,                0.95153,               0.008515,               0.008515,               0.008515
                     47,                 1.1222,                0.25333,                 1.0834,                0.64001,                0.73188,                0.70984,                0.39755,                 1.4478,                 0.2454,                0.93067,               0.008482,               0.008482,               0.008482
                     48,                 1.1208,                0.25014,                  1.072,                0.64288,                0.73188,                0.71514,                0.38132,                 1.5973,                0.26202,                0.93836,               0.008449,               0.008449,               0.008449
                     49,                 1.1302,                0.24392,                 1.0829,                0.65724,                0.73645,                0.71322,                0.36471,                 1.5555,                0.25625,                0.94565,               0.008416,               0.008416,               0.008416
                     50,                  1.105,                 0.2528,                 1.0814,                0.66818,                0.68116,                0.69033,                0.39463,                 1.5115,                 0.2402,                0.91519,               0.008383,               0.008383,               0.008383
                     51,                 1.1253,                 0.2456,                 1.0716,                0.67755,                0.71014,                0.70016,                0.37183,                  1.596,                0.24992,                0.92359,                0.00835,                0.00835,                0.00835
                     52,                 1.1096,                0.24131,                  1.066,                0.56988,                0.69127,                0.62989,                0.34794,                 1.6186,                 0.2851,                0.93917,               0.008317,               0.008317,               0.008317
                     53,                  1.086,                0.24827,                 1.0711,                0.73642,                0.69565,                0.76123,                 0.3966,                 1.5163,                0.24627,                  0.919,               0.008284,               0.008284,               0.008284
                     54,                 1.1153,                0.24538,                 1.0818,                0.76002,                0.68116,                0.77756,                0.43664,                 1.5927,                0.22682,                0.94751,               0.008251,               0.008251,               0.008251
                     55,                 1.0997,                0.24331,                 1.0551,                  0.615,                0.75242,                0.69366,                0.39539,                 1.4946,                0.24067,                0.91451,               0.008218,               0.008218,               0.008218
                     56,                  1.094,                 0.2365,                 1.0486,                0.65986,                0.76812,                0.72573,                0.40958,                 1.4493,                0.24862,                0.90968,               0.008185,               0.008185,               0.008185
                     57,                 1.0985,                0.23977,                 1.0556,                0.62556,                 0.7869,                0.72743,                0.40999,                 1.5349,                 0.2321,                0.92807,               0.008152,               0.008152,               0.008152
                     58,                 1.0492,                0.22225,                 1.0496,                0.68638,                0.71014,                 0.7129,                0.41054,                 1.4823,                0.23602,                0.92704,               0.008119,               0.008119,               0.008119
                     59,                 1.0335,                0.22881,                 1.0445,                0.76079,                0.78986,                0.79154,                0.44872,                  1.526,                 0.2239,                0.91886,               0.008086,               0.008086,               0.008086
                     60,                  1.076,                0.23583,                 1.0427,                0.67293,                0.73054,                0.68456,                0.36143,                 1.5072,                0.25206,                 0.9304,               0.008053,               0.008053,               0.008053
                     61,                 1.0946,                0.24116,                 1.0639,                 0.7022,                0.75362,                0.71016,                0.37938,                  1.555,                0.24004,                0.93927,                0.00802,                0.00802,                0.00802
                     62,                 1.0789,                0.24117,                 1.0644,                0.68301,                0.80435,                0.71635,                0.39843,                 1.4748,                0.22364,                0.93473,               0.007987,               0.007987,               0.007987
                     63,                 1.0533,                0.23132,                 1.0554,                0.62447,                0.84058,                0.70895,                0.38717,                 1.5307,                0.23096,                0.92187,               0.007954,               0.007954,               0.007954
                     64,                 1.0462,                0.22401,                 1.0427,                0.67678,                0.80416,                0.71784,                 0.4001,                 1.4696,                0.22824,                0.90658,               0.007921,               0.007921,               0.007921
                     65,                 1.0485,                0.22009,                 1.0368,                 0.6744,                0.74638,                0.71264,                0.39308,                 1.4727,                0.23234,                0.92349,               0.007888,               0.007888,               0.007888
                     66,                  1.056,                0.22665,                 1.0448,                0.75294,                0.76087,                0.73059,                0.39184,                 1.5599,                0.23454,                0.91985,               0.007855,               0.007855,               0.007855
                     67,                 1.0549,                0.22689,                 1.0435,                0.71185,                0.76977,                0.76293,                0.42419,                 1.4846,                0.22728,                0.90823,               0.007822,               0.007822,               0.007822
